"","date","amount.x","cum_rolling_365_all","amount.y","cum_rolling_365_private","cum_rolling_365_health","cum_rolling_365_pubad","cum_rolling_365_realestate","cum_rolling_365_computing","cum_rolling_365_management","cum_rolling_365_bussup","cum_rolling_365_residential","cum_rolling_365_socialwork","cum_rolling_365_legal","cum_rolling_365_transport","cum_rolling_365_private2","cum_rolling_365_pubad2","cum_rolling_365_computing2","cum_rolling_365_legal2","cum_rolling_365_management2","cum_rolling_365_realestate2","cum_rolling_365_transport2","cum_rolling_365_health2","cum_rolling_365_bussup2","cum_rolling_365_residential2","cum_rolling_365_socialwork2","Rolling_Percent"
"415",2018-06-22,92102,31694371826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1947324648,0.121155860765473,0.158306327304586,0.0934251013478345,0.266471250680278,0.19696669914369,0.0940304391063908,4.29103196765153,0.296459316233933,0.281227286943359,0.0881796526949093,6.14407081071265
"416",2018-06-26,2358736,31696730562,2324095,1949648743,1362339722,NA,NA,NA,NA,NA,NA,NA,NA,NA,1949648743,0.121146844861141,0.158294546820396,0.093418149048782,0.266451421022115,0.196952041718908,0.0940234417606746,4.29804493348364,0.296437254991359,0.281206359203679,0.0881730907398562,6.15094588126814
"417",2018-06-27,4074337,31700804899,-29483,1949619260,1362310239,NA,NA,NA,NA,NA,NA,NA,NA,NA,1949619260,0.121131274497107,0.158274202058455,0.0934061425075489,0.266417175428452,0.196926728513348,0.0940113574243666,4.29739952452429,0.29639915547685,0.281170217235751,0.0881617583182616,6.15006232873759
"418",2018-06-30,2839832965,31908524141,168032388,1957365142,1356804943,39008825,65607762,52238376,83616981,95741456,89290781,28417402,29494646,29964492,1957365142,0.122252050353769,0.163712918119198,0.0924350053599052,0.262052173364416,0.205612023013308,0.0939074833658569,4.25217078986304,0.300049778475901,0.279833628799109,0.0890589670472594,6.13430170994633
"419",2018-07-01,17038982,31925563123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957365142,0.122186803251395,0.163625542950458,0.0923856719030002,0.261912313583469,0.205502285886805,0.0938573640331901,4.2499013651619,0.299889639005382,0.279684278883315,0.0890114354146736,6.13102777375871
"420",2018-07-02,141974,31925705097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957365142,0.122186259885191,0.163624815305673,0.0923852610627903,0.261911148856215,0.205501372015633,0.0938569466483473,4.24988246579869,0.299888305392499,0.279683035123915,0.0890110395797346,6.13100050900342
"421",2018-07-04,3267693,31928972790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957365142,0.122173755029844,0.163608069522239,0.0923758061181272,0.261884344197219,0.205480340477937,0.0938473410876053,4.24944752192261,0.299857614053859,0.279654411644478,0.0890019299615558,6.13037304668015
"422",2018-07-09,223912,31929196702,223912,1957589054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957589054,0.122172898253831,0.163606922177055,0.0923751583081716,0.261882507663471,0.205478899492296,0.0938466829581186,4.24941772153952,0.299855511222438,0.279652450493397,0.0890013058118057,6.13103133245247
"423",2018-07-11,144431,31929341133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957589054,0.122172345609985,0.163606182108186,0.0923747404531199,0.261881323049223,0.20547797001734,0.0938462584466885,4.2493984994814,0.299854154838943,0.279651185497577,0.0890009032182305,6.13100359899619
"424",2018-07-13,39064,31929380197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957589054,0.12217219613823,0.163605981944204,0.0923746274372443,0.261881002650519,0.205477718625319,0.0938461436304842,4.24939330055483,0.299853787982379,0.279650843358336,0.089000794330076,6.13099609801987
"425",2018-07-17,-26358,31929353839,-83048,1957506006,1356721895,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957506006,0.122172296992596,0.163606117002573,0.0923747036934204,0.261881218835899,0.205477888249225,0.0938462211014116,4.24913670925228,0.299854035514671,0.279651074212896,0.0890008678011193,6.13074105999919
