"","LAD19CD","threeyears","ccg19cd","LAD19NM","Treatable_mortality_rate","Preventable_mortality_rate","year","Broad_RUC11","one.x","one.y","include","Unemployment_percent","Qual_lvl4_percent","BAME_percent","Est_Population","Managerial_occupation","Professional_occupation","Local_Authority_Expenditure","Claimant_percent","GDHI_per_person","Local_Authority_Spend_per_pop","professional_and_managerial"
"52","E06000024","X2015.2017","E38000222","North Somerset",76,126.9,"2017","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","E06000024","X2016.2018","E38000222","North Somerset",71.3,125.1,"2018","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","E06000024","X2017.2019","E38000222","North Somerset",70.1,111,"2019","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","E06000025","X2009.2011","E38000222","South Gloucestershire",70.5,122,"2011","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","E06000025","X2010.2012","E38000222","South Gloucestershire",66.4,114.4,"2012","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","E06000025","X2011.2013","E38000222","South Gloucestershire",70.1,113.1,"2013","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","E06000025","X2012.2014","E38000222","South Gloucestershire",65.9,114,"2014","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","E06000025","X2013.2015","E38000222","South Gloucestershire",67.3,115.5,"2015","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","E06000025","X2014.2016","E38000222","South Gloucestershire",65.8,113.8,"2016","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","E06000025","X2015.2017","E38000222","South Gloucestershire",66.5,111.6,"2017","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","E06000025","X2016.2018","E38000222","South Gloucestershire",65.2,108.8,"2018","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","E06000025","X2017.2019","E38000222","South Gloucestershire",65.7,103.5,"2019","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","E06000026","X2009.2011","E38000230","Plymouth",95.6,180.1,"2011","Predominantly Urban",1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","E06000026","X2010.2012","E38000230","Plymouth",90.5,179.2,"2012","Predominantly Urban",1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","E06000026","X2011.2013","E38000230","Plymouth",89.1,175.5,"2013","Predominantly Urban",1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","E06000026","X2012.2014","E38000230","Plymouth",89.2,170.7,"2014","Predominantly Urban",1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
