"","LAD19CD","threeyears","ccg19cd","LAD19NM","Treatable_mortality_rate","Preventable_mortality_rate","year","Broad_RUC11","one.x","one.y","include","Unemployment_percent","Qual_lvl4_percent","BAME_percent","Est_Population","Managerial_occupation","Professional_occupation","Local_Authority_Expenditure","Claimant_percent","GDHI_per_person","Local_Authority_Spend_per_pop","professional_and_managerial"
"42","E06000023","X2014.2016","E38000222","Bristol, City of",89.9,170,"2016","Predominantly Urban",1,3,1,6.03333333333333,47.3333333333333,12.6333333333333,450132.333333333,8.63333333333333,27.1,832709,1.73333333333333,17679.6666666667,1.84922775529883,35.7333333333333
"43","E06000023","X2015.2017","E38000222","Bristol, City of",93.1,166.5,"2017","Predominantly Urban",1,3,1,4.7,50.1666666666667,10.9666666666667,455286,8.66666666666667,27.4666666666667,839535,1.6,18305.6666666667,1.84357014033053,36.1333333333333
"44","E06000023","X2016.2018","E38000222","Bristol, City of",91.3,172.3,"2018","Predominantly Urban",1,3,1,4.26666666666667,50.6333333333333,11.1333333333333,459541,8.53333333333333,27.6333333333333,850090.333333333,1.7,18899,1.85054900425902,36.1666666666667
"45","E06000023","X2017.2019","E38000222","Bristol, City of",90.5,167.7,"2019","Predominantly Urban",1,3,1,4.26666666666667,51.4666666666667,11.1,462011.333333333,8.26666666666667,29.0333333333333,817605.666666667,2.03333333333333,19530.6666666667,1.76979106219382,37.3
"46","E06000024","X2009.2011","E38000222","North Somerset",82.5,142.1,"2011","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","E06000024","X2010.2012","E38000222","North Somerset",81.5,135.9,"2012","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","E06000024","X2011.2013","E38000222","North Somerset",78.4,135.1,"2013","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","E06000024","X2012.2014","E38000222","North Somerset",78,130.6,"2014","Urban with Significant Rural",1,3,1,5.5,32.8,1.7,206273.666666667,11.6666666666667,19.8333333333333,355355,1.93333333333333,19062.6666666667,1.72295925269839,31.5
"50","E06000024","X2013.2015","E38000222","North Somerset",77.7,129,"2015","Urban with Significant Rural",1,3,1,4.26666666666667,33.9333333333333,2.2,208102.666666667,11.6,19.4,358049.666666667,1.36666666666667,19999.3333333333,1.72039514898877,31
"51","E06000024","X2014.2016","E38000222","North Somerset",77.6,131,"2016","Urban with Significant Rural",1,3,1,3.76666666666667,36.7,2.4,209957.666666667,12.0333333333333,18.9,365871.333333333,1.06666666666667,20690.6666666667,1.74236358732615,30.9333333333333
"52","E06000024","X2015.2017","E38000222","North Somerset",76,126.9,"2017","Urban with Significant Rural",1,3,1,3.3,39.3666666666667,2.7,211507.333333333,12.4,19.4,353776.333333333,1.1,21216,1.67321265953445,31.8
"53","E06000024","X2016.2018","E38000222","North Somerset",71.3,125.1,"2018","Urban with Significant Rural",1,3,1,2.9,41.5333333333333,2.8,212833.333333333,12.2333333333333,20.2,330710,1.36666666666667,21703.3333333333,1.55447613972152,32.4333333333333
"54","E06000024","X2017.2019","E38000222","North Somerset",70.1,111,"2019","Urban with Significant Rural",1,3,1,3.1,41.7333333333333,3.1,213935,13.1666666666667,20.3333333333333,298214.333333333,1.73333333333333,22269.6666666667,1.39427835106011,33.5
"55","E06000025","X2009.2011","E38000222","South Gloucestershire",70.5,122,"2011","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","E06000025","X2010.2012","E38000222","South Gloucestershire",66.4,114.4,"2012","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","E06000025","X2011.2013","E38000222","South Gloucestershire",70.1,113.1,"2013","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","E06000025","X2012.2014","E38000222","South Gloucestershire",65.9,114,"2014","Predominantly Urban",1,3,1,5.6,33.1666666666667,4.16666666666667,268712.666666667,9.66666666666667,20.5333333333333,478604,1.46666666666667,18513,1.78167755396762,30.2
"59","E06000025","X2013.2015","E38000222","South Gloucestershire",67.3,115.5,"2015","Predominantly Urban",1,3,1,4.26666666666667,35.4,4.13333333333333,271299,9.33333333333333,22.1666666666667,455451.666666667,1.06666666666667,19413.3333333333,1.67921394631163,31.5
"60","E06000025","X2014.2016","E38000222","South Gloucestershire",65.8,113.8,"2016","Predominantly Urban",1,3,1,3.26666666666667,37.1333333333333,4.6,273874.333333333,9.93333333333333,22.2666666666667,442034.333333333,0.9,20107.6666666667,1.61463213807702,32.2
"61","E06000025","X2015.2017","E38000222","South Gloucestershire",66.5,111.6,"2017","Predominantly Urban",1,3,1,3.56666666666667,38.5333333333333,5.36666666666667,276552,10.2,23.4333333333333,432667.666666667,0.833333333333333,20670,1.56460253902915,33.6333333333333
